ip,country,region_code
10.1.63.189,IN,LATAM
10.1.64.192,DE,NA
10.1.65.195,GB,EU
10.1.66.198,BR,APAC
10.1.67.201,JP,LATAM
10.1.68.204,US,NA
10.1.69.207,IN,EU
10.1.70.210,DE,APAC
10.1.71.213,GB,LATAM
10.1.72.216,BR,NA
10.1.73.219,JP,EU
10.1.74.222,US,APAC
10.1.75.225,IN,LATAM
10.1.76.228,DE,NA
10.1.77.231,GB,EU
10.1.78.234,BR,APAC
10.1.79.237,JP,LATAM
10.1.80.240,US,NA
10.1.81.243,IN,EU
10.1.82.246,DE,APAC
10.1.83.249,GB,LATAM
10.1.84.252,BR,NA
10.1.85.255,JP,EU
10.1.86.2,US,APAC
10.1.87.5,IN,LATAM
10.1.88.8,DE,NA
10.1.89.11,GB,EU
10.1.90.14,BR,APAC
10.1.91.17,JP,LATAM
10.1.92.20,US,NA
10.1.93.23,IN,EU
10.1.94.26,DE,APAC
10.1.95.29,GB,LATAM
10.1.96.32,BR,NA
10.1.97.35,JP,EU
10.1.98.38,US,APAC
10.1.99.41,IN,LATAM
10.1.100.44,DE,NA
10.1.101.47,GB,EU
10.1.102.50,BR,APAC
10.1.103.53,JP,LATAM
10.1.104.56,US,NA
10.1.105.59,IN,EU
10.1.106.62,DE,APAC
10.1.107.65,GB,LATAM
10.1.108.68,BR,NA
10.1.109.71,JP,EU
10.1.110.74,US,APAC
10.1.111.77,IN,LATAM
10.1.112.80,DE,NA
10.1.113.83,GB,EU
10.1.114.86,BR,APAC
10.1.115.89,JP,LATAM
10.1.116.92,US,NA
10.1.117.95,IN,EU
10.1.118.98,DE,APAC
10.1.119.101,GB,LATAM
10.1.120.104,BR,NA
10.1.121.107,JP,EU
10.1.122.110,US,APAC
10.1.123.113,IN,LATAM
10.1.124.116,DE,NA
10.1.125.119,GB,EU
10.1.126.122,BR,APAC
10.1.127.125,JP,LATAM
10.1.128.128,US,NA
10.1.129.131,IN,EU
10.1.130.134,DE,APAC
10.1.131.137,GB,LATAM
10.1.132.140,BR,NA
10.1.133.143,JP,EU
10.1.134.146,US,APAC
10.1.135.149,IN,LATAM
10.1.136.152,DE,NA
10.1.137.155,GB,EU
10.1.138.158,BR,APAC
10.1.139.161,JP,LATAM
10.1.140.164,US,NA
10.1.141.167,IN,EU
10.1.142.170,DE,APAC
10.1.143.173,GB,LATAM
10.1.144.176,BR,NA
10.1.145.179,JP,EU
10.1.146.182,US,APAC
10.1.147.185,IN,LATAM
10.1.148.188,DE,NA
10.1.149.191,GB,EU
10.1.150.194,BR,APAC
10.1.151.197,JP,LATAM
10.1.152.200,US,NA
10.1.153.203,IN,EU
10.1.154.206,DE,APAC
10.1.155.209,GB,LATAM
10.1.156.212,BR,NA
10.1.157.215,JP,EU
10.1.158.218,US,APAC
10.1.159.221,IN,LATAM
10.1.160.224,DE,NA
10.1.161.227,GB,EU
10.1.162.230,BR,APAC
10.1.163.233,JP,LATAM
10.1.164.236,US,NA
10.1.165.239,IN,EU
10.1.166.242,DE,APAC
10.1.167.245,GB,LATAM
10.1.168.248,BR,NA
10.1.169.251,JP,EU
10.1.170.254,US,APAC
10.1.171.1,IN,LATAM
10.1.172.4,DE,NA
10.1.173.7,GB,EU
10.1.174.10,BR,APAC
10.1.175.13,JP,LATAM
10.1.176.16,US,NA
10.1.177.19,IN,EU
10.1.178.22,DE,APAC
10.1.179.25,GB,LATAM
10.1.180.28,BR,NA
10.1.181.31,JP,EU
10.1.182.34,US,APAC
10.1.183.37,IN,LATAM
10.1.184.40,DE,NA
10.1.185.43,GB,EU
10.1.186.46,BR,APAC
10.1.187.49,JP,LATAM
10.1.188.52,US,NA
10.1.189.55,IN,EU
10.1.190.58,DE,APAC
10.1.191.61,GB,LATAM
10.1.192.64,BR,NA
10.1.193.67,JP,EU
10.1.194.70,US,APAC
10.1.195.73,IN,LATAM
10.1.196.76,DE,NA
10.1.197.79,GB,EU
10.1.198.82,BR,APAC
10.1.199.85,JP,LATAM
10.1.200.88,US,NA
10.1.201.91,IN,EU
10.1.202.94,DE,APAC
10.1.203.97,GB,LATAM
10.1.204.100,BR,NA
10.1.205.103,JP,EU
10.1.206.106,US,APAC
10.1.207.109,IN,LATAM
10.1.208.112,DE,NA
10.1.209.115,GB,EU
10.1.210.118,BR,APAC
10.1.211.121,JP,LATAM
10.1.212.124,US,NA
10.1.213.127,IN,EU
10.1.214.130,DE,APAC
10.1.215.133,GB,LATAM
10.1.216.136,BR,NA
10.1.217.139,JP,EU
10.1.218.142,US,APAC
10.1.219.145,IN,LATAM
10.1.220.148,DE,NA
10.1.221.151,GB,EU
10.1.222.154,BR,APAC
10.1.223.157,JP,LATAM
10.1.224.160,US,NA
10.1.225.163,IN,EU
10.1.226.166,DE,APAC
10.1.227.169,GB,LATAM
10.1.228.172,BR,NA
10.1.229.175,JP,EU
10.1.230.178,US,APAC
10.1.231.181,IN,LATAM
10.1.232.184,DE,NA
10.1.233.187,GB,EU
10.1.234.190,BR,APAC
10.1.235.193,JP,LATAM
10.1.236.196,US,NA
10.1.237.199,IN,EU
10.1.238.202,DE,APAC
10.1.239.205,GB,LATAM
10.1.240.208,BR,NA
10.1.241.211,JP,EU
10.1.242.214,US,APAC
10.1.243.217,IN,LATAM
10.1.244.220,DE,NA
10.1.245.223,GB,EU
10.1.246.226,BR,APAC
10.1.247.229,JP,LATAM
10.1.248.232,US,NA
10.1.249.235,IN,EU
10.1.250.238,DE,APAC
10.1.251.241,GB,LATAM
10.1.252.244,BR,NA
10.1.253.247,JP,EU
10.1.254.250,US,APAC
10.1.255.253,IN,LATAM
10.2.0.0,DE,NA
10.2.1.3,GB,EU
10.2.2.6,BR,APAC
10.2.3.9,JP,LATAM
10.2.4.12,US,NA
10.2.5.15,IN,EU
10.2.6.18,DE,APAC
10.2.7.21,GB,LATAM
10.2.8.24,BR,NA
10.2.9.27,JP,EU
10.2.10.30,US,APAC
10.2.11.33,IN,LATAM
10.2.12.36,DE,NA
10.2.13.39,GB,EU
10.2.14.42,BR,APAC
10.2.15.45,JP,LATAM
10.2.16.48,US,NA
10.2.17.51,IN,EU
10.2.18.54,DE,APAC
10.2.19.57,GB,LATAM
10.2.20.60,BR,NA
10.2.21.63,JP,EU
10.2.22.66,US,APAC
10.2.23.69,IN,LATAM
10.2.24.72,DE,NA
10.2.25.75,GB,EU
10.2.26.78,BR,APAC
10.2.27.81,JP,LATAM
10.2.28.84,US,NA
10.2.29.87,IN,EU
10.2.30.90,DE,APAC
10.2.31.93,GB,LATAM
10.2.32.96,BR,NA
10.2.33.99,JP,EU
10.2.34.102,US,APAC
10.2.35.105,IN,LATAM
10.2.36.108,DE,NA
10.2.37.111,GB,EU
10.2.38.114,BR,APAC
10.2.39.117,JP,LATAM
10.2.40.120,US,NA
10.2.41.123,IN,EU
10.2.42.126,DE,APAC
10.2.43.129,GB,LATAM
10.2.44.132,BR,NA
10.2.45.135,JP,EU
10.2.46.138,US,APAC
10.2.47.141,IN,LATAM
10.2.48.144,DE,NA
10.2.49.147,GB,EU
10.2.50.150,BR,APAC
10.2.51.153,JP,LATAM
10.2.52.156,US,NA
10.2.53.159,IN,EU
10.2.54.162,DE,APAC
10.2.55.165,GB,LATAM
10.2.56.168,BR,NA
10.2.57.171,JP,EU
10.2.58.174,US,APAC
10.2.59.177,IN,LATAM
10.2.60.180,DE,NA
10.2.61.183,GB,EU
10.2.62.186,BR,APAC
10.2.63.189,JP,LATAM
10.2.64.192,US,NA
10.2.65.195,IN,EU
10.2.66.198,DE,APAC
10.2.67.201,GB,LATAM
10.2.68.204,BR,NA
10.2.69.207,JP,EU
10.2.70.210,US,APAC
10.2.71.213,IN,LATAM
10.2.72.216,DE,NA
10.2.73.219,GB,EU
10.2.74.222,BR,APAC
10.2.75.225,JP,LATAM
10.2.76.228,US,NA
10.2.77.231,IN,EU
10.2.78.234,DE,APAC
10.2.79.237,GB,LATAM
10.2.80.240,BR,NA
10.2.81.243,JP,EU
10.2.82.246,US,APAC
10.2.83.249,IN,LATAM
10.2.84.252,DE,NA
10.2.85.255,GB,EU
10.2.86.2,BR,APAC
10.2.87.5,JP,LATAM
10.2.88.8,US,NA
10.2.89.11,IN,EU
10.2.90.14,DE,APAC
10.2.91.17,GB,LATAM
10.2.92.20,BR,NA
10.2.93.23,JP,EU
10.2.94.26,US,APAC
10.2.95.29,IN,LATAM
10.2.96.32,DE,NA
10.2.97.35,GB,EU
10.2.98.38,BR,APAC
10.2.99.41,JP,LATAM
10.2.100.44,US,NA
10.2.101.47,IN,EU
10.2.102.50,DE,APAC
10.2.103.53,GB,LATAM
10.2.104.56,BR,NA
10.2.105.59,JP,EU
10.2.106.62,US,APAC
10.2.107.65,IN,LATAM
10.2.108.68,DE,NA
10.2.109.71,GB,EU
10.2.110.74,BR,APAC
10.2.111.77,JP,LATAM
10.2.112.80,US,NA
10.2.113.83,IN,EU
10.2.114.86,DE,APAC
10.2.115.89,GB,LATAM
10.2.116.92,BR,NA
10.2.117.95,JP,EU
10.2.118.98,US,APAC
10.2.119.101,IN,LATAM
10.2.120.104,DE,NA
10.2.121.107,GB,EU
10.2.122.110,BR,APAC
10.2.123.113,JP,LATAM
10.2.124.116,US,NA
10.2.125.119,IN,EU
10.2.126.122,DE,APAC
10.2.127.125,GB,LATAM
10.2.128.128,BR,NA
10.2.129.131,JP,EU
10.2.130.134,US,APAC
10.2.131.137,IN,LATAM
10.2.132.140,DE,NA
10.2.133.143,GB,EU
10.2.134.146,BR,APAC
10.2.135.149,JP,LATAM
10.2.136.152,US,NA
10.2.137.155,IN,EU
10.2.138.158,DE,APAC
10.2.139.161,GB,LATAM
10.2.140.164,BR,NA
10.2.141.167,JP,EU
10.2.142.170,US,APAC
10.2.143.173,IN,LATAM
10.2.144.176,DE,NA
10.2.145.179,GB,EU
10.2.146.182,BR,APAC
10.2.147.185,JP,LATAM
10.2.148.188,US,NA
10.2.149.191,IN,EU
10.2.150.194,DE,APAC
10.2.151.197,GB,LATAM
10.2.152.200,BR,NA
10.2.153.203,JP,EU
10.2.154.206,US,APAC
10.2.155.209,IN,LATAM
10.2.156.212,DE,NA
10.2.157.215,GB,EU
10.2.158.218,BR,APAC
10.2.159.221,JP,LATAM
10.2.160.224,US,NA
10.2.161.227,IN,EU
10.2.162.230,DE,APAC
10.2.163.233,GB,LATAM
10.2.164.236,BR,NA
10.2.165.239,JP,EU
10.2.166.242,US,APAC
10.2.167.245,IN,LATAM
10.2.168.248,DE,NA
10.2.169.251,GB,EU
10.2.170.254,BR,APAC
10.2.171.1,JP,LATAM
10.2.172.4,US,NA
10.2.173.7,IN,EU
10.2.174.10,DE,APAC
10.2.175.13,GB,LATAM
10.2.176.16,BR,NA
10.2.177.19,JP,EU
10.2.178.22,US,APAC
10.2.179.25,IN,LATAM
10.2.180.28,DE,NA
10.2.181.31,GB,EU
10.2.182.34,BR,APAC
10.2.183.37,JP,LATAM
10.2.184.40,US,NA
10.2.185.43,IN,EU
10.2.186.46,DE,APAC
10.2.187.49,GB,LATAM
10.2.188.52,BR,NA
10.2.189.55,JP,EU
10.2.190.58,US,APAC
10.2.191.61,IN,LATAM
10.2.192.64,DE,NA
10.2.193.67,GB,EU
10.2.194.70,BR,APAC
10.2.195.73,JP,LATAM
10.2.196.76,US,NA
10.2.197.79,IN,EU
10.2.198.82,DE,APAC
10.2.199.85,GB,LATAM
10.2.200.88,BR,NA
10.2.201.91,JP,EU
10.2.202.94,US,APAC
10.2.203.97,IN,LATAM
10.2.204.100,DE,NA
10.2.205.103,GB,EU
10.2.206.106,BR,APAC
10.2.207.109,JP,LATAM
10.2.208.112,US,NA
10.2.209.115,IN,EU
10.2.210.118,DE,APAC
10.2.211.121,GB,LATAM
10.2.212.124,BR,NA
10.2.213.127,JP,EU
10.2.214.130,US,APAC
10.2.215.133,IN,LATAM
10.2.216.136,DE,NA
10.2.217.139,GB,EU
10.2.218.142,BR,APAC
10.2.219.145,JP,LATAM
10.2.220.148,US,NA
10.2.221.151,IN,EU
10.2.222.154,DE,APAC
10.2.223.157,GB,LATAM
10.2.224.160,BR,NA
10.2.225.163,JP,EU
10.2.226.166,US,APAC
10.2.227.169,IN,LATAM
10.2.228.172,DE,NA
10.2.229.175,GB,EU
10.2.230.178,BR,APAC
10.2.231.181,JP,LATAM
10.2.232.184,US,NA
10.2.233.187,IN,EU
10.2.234.190,DE,APAC
10.2.235.193,GB,LATAM
10.2.236.196,BR,NA
10.2.237.199,JP,EU
10.2.238.202,US,APAC
10.2.239.205,IN,LATAM
10.2.240.208,DE,NA
10.2.241.211,GB,EU
10.2.242.214,BR,APAC
10.2.243.217,JP,LATAM
10.2.244.220,US,NA
10.2.245.223,IN,EU
10.2.246.226,DE,APAC
10.2.247.229,GB,LATAM
10.2.248.232,BR,NA
10.2.249.235,JP,EU
10.2.250.238,US,APAC
10.2.251.241,IN,LATAM
10.2.252.244,DE,NA
10.2.253.247,GB,EU
10.2.254.250,BR,APAC
10.2.255.253,JP,LATAM
10.3.0.0,US,NA
10.3.1.3,IN,EU
10.3.2.6,DE,APAC
10.3.3.9,GB,LATAM
10.3.4.12,BR,NA
10.3.5.15,JP,EU
10.3.6.18,US,APAC
10.3.7.21,IN,LATAM
10.3.8.24,DE,NA
10.3.9.27,GB,EU
10.3.10.30,BR,APAC
10.3.11.33,JP,LATAM
10.3.12.36,US,NA
10.3.13.39,IN,EU
10.3.14.42,DE,APAC
10.3.15.45,GB,LATAM
10.3.16.48,BR,NA
10.3.17.51,JP,EU
10.3.18.54,US,APAC
10.3.19.57,IN,LATAM
10.3.20.60,DE,NA
10.3.21.63,GB,EU
10.3.22.66,BR,APAC
10.3.23.69,JP,LATAM
10.3.24.72,US,NA
10.3.25.75,IN,EU
10.3.26.78,DE,APAC
10.3.27.81,GB,LATAM
10.3.28.84,BR,NA
10.3.29.87,JP,EU
10.3.30.90,US,APAC
10.3.31.93,IN,LATAM
10.3.32.96,DE,NA
10.3.33.99,GB,EU
10.3.34.102,BR,APAC
10.3.35.105,JP,LATAM
10.3.36.108,US,NA
10.3.37.111,IN,EU
10.3.38.114,DE,APAC
10.3.39.117,GB,LATAM
10.3.40.120,BR,NA
10.3.41.123,JP,EU
10.3.42.126,US,APAC
10.3.43.129,IN,LATAM
10.3.44.132,DE,NA
10.3.45.135,GB,EU
10.3.46.138,BR,APAC
10.3.47.141,JP,LATAM
10.3.48.144,US,NA
10.3.49.147,IN,EU
10.3.50.150,DE,APAC
10.3.51.153,GB,LATAM
10.3.52.156,BR,NA
10.3.53.159,JP,EU
10.3.54.162,US,APAC
10.3.55.165,IN,LATAM
10.3.56.168,DE,NA
10.3.57.171,GB,EU
10.3.58.174,BR,APAC
10.3.59.177,JP,LATAM
10.3.60.180,US,NA
10.3.61.183,IN,EU
10.3.62.186,DE,APAC
10.3.63.189,GB,LATAM
10.3.64.192,BR,NA
10.3.65.195,JP,EU
10.3.66.198,US,APAC
10.3.67.201,IN,LATAM
10.3.68.204,DE,NA
10.3.69.207,GB,EU
10.3.70.210,BR,APAC
10.3.71.213,JP,LATAM
10.3.72.216,US,NA
10.3.73.219,IN,EU
10.3.74.222,DE,APAC
10.3.75.225,GB,LATAM
10.3.76.228,BR,NA
10.3.77.231,JP,EU
10.3.78.234,US,APAC
10.3.79.237,IN,LATAM
10.3.80.240,DE,NA
10.3.81.243,GB,EU
10.3.82.246,BR,APAC
10.3.83.249,JP,LATAM
10.3.84.252,US,NA
10.3.85.255,IN,EU
10.3.86.2,DE,APAC
10.3.87.5,GB,LATAM
10.3.88.8,BR,NA
10.3.89.11,JP,EU
10.3.90.14,US,APAC
10.3.91.17,IN,LATAM
10.3.92.20,DE,NA
10.3.93.23,GB,EU
10.3.94.26,BR,APAC
10.3.95.29,JP,LATAM
10.3.96.32,US,NA
10.3.97.35,IN,EU
10.3.98.38,DE,APAC
10.3.99.41,GB,LATAM
10.3.100.44,BR,NA
10.3.101.47,JP,EU
10.3.102.50,US,APAC
10.3.103.53,IN,LATAM
10.3.104.56,DE,NA
10.3.105.59,GB,EU
10.3.106.62,BR,APAC
10.3.107.65,JP,LATAM
10.3.108.68,US,NA
10.3.109.71,IN,EU
10.3.110.74,DE,APAC
10.3.111.77,GB,LATAM
10.3.112.80,BR,NA
10.3.113.83,JP,EU
10.3.114.86,US,APAC
10.3.115.89,IN,LATAM
10.3.116.92,DE,NA
10.3.117.95,GB,EU
10.3.118.98,BR,APAC
10.3.119.101,JP,LATAM
10.3.120.104,US,NA
10.3.121.107,IN,EU
10.3.122.110,DE,APAC
10.3.123.113,GB,LATAM
10.3.124.116,BR,NA
10.3.125.119,JP,EU
10.3.126.122,US,APAC
10.3.127.125,IN,LATAM
10.3.128.128,DE,NA
10.3.129.131,GB,EU
10.3.130.134,BR,APAC
10.3.131.137,JP,LATAM
10.3.132.140,US,NA
10.3.133.143,IN,EU
10.3.134.146,DE,APAC
10.3.135.149,GB,LATAM
10.3.136.152,BR,NA
10.3.137.155,JP,EU
10.3.138.158,US,APAC
10.3.139.161,IN,LATAM
10.3.140.164,DE,NA
10.3.141.167,GB,EU
10.3.142.170,BR,APAC
10.3.143.173,JP,LATAM
10.3.144.176,US,NA
10.3.145.179,IN,EU
10.3.146.182,DE,APAC
10.3.147.185,GB,LATAM
10.3.148.188,BR,NA
10.3.149.191,JP,EU
10.3.150.194,US,APAC
10.3.151.197,IN,LATAM
10.3.152.200,DE,NA
10.3.153.203,GB,EU
10.3.154.206,BR,APAC
10.3.155.209,JP,LATAM
10.3.156.212,US,NA
10.3.157.215,IN,EU
10.3.158.218,DE,APAC
10.3.159.221,GB,LATAM
10.3.160.224,BR,NA
10.3.161.227,JP,EU
10.3.162.230,US,APAC
10.3.163.233,IN,LATAM
10.3.164.236,DE,NA
10.3.165.239,GB,EU
10.3.166.242,BR,APAC
10.3.167.245,JP,LATAM
10.3.168.248,US,NA
10.3.169.251,IN,EU
10.3.170.254,DE,APAC
10.3.171.1,GB,LATAM
10.3.172.4,BR,NA
10.3.173.7,JP,EU
10.3.174.10,US,APAC
10.3.175.13,IN,LATAM
10.3.176.16,DE,NA
10.3.177.19,GB,EU
10.3.178.22,BR,APAC
10.3.179.25,JP,LATAM
10.3.180.28,US,NA
10.3.181.31,IN,EU
10.3.182.34,DE,APAC
10.3.183.37,GB,LATAM
10.3.184.40,BR,NA
10.3.185.43,JP,EU
10.3.186.46,US,APAC
10.3.187.49,IN,LATAM
10.3.188.52,DE,NA
10.3.189.55,GB,EU
